39,51|39,52|1
59,53|58,53|1
91,95|92,95|1
90,27|91,27|1
68,49|69,49|1
26,87|25,87|1
85,114|85,113|1
134,19|133,19|1
26,53|27,53|1
85,114|85,115|1
138,67|137,67|1
4,21|3,21|1
86,27|85,27|1
89,11|89,10|1
63,1|64,1|1
131,101|132,101|1
37,135|37,134|1
2,103|1,103|1
37,135|37,136|1
92,35|91,35|1
16,81|15,81|1
137,59|137,60|1
109,22|109,21|1
109,22|109,23|1
69,41|70,41|1
69,41|69,42|1
103,127|103,128|1
115,27|114,27|1
127,138|127,137|1
27,111|27,110|1
127,138|127,139|1
109,98|109,97|1
104,71|103,71|1
81,31|80,31|1
109,98|109,99|1
52,65|51,65|1
59,108|59,107|1
64,41|65,41|1
59,108|59,109|1
139,14|139,13|1
99,117|99,118|1
139,14|139,15|1
37,9|37,8|1
71,26|71,25|1
85,87|86,87|1
139,43|138,43|1
128,91|127,91|1
54,25|55,25|1
27,127|27,128|1
9,103|8,103|1
19,50|19,49|1
71,26|71,27|1
83,58|83,57|1
115,39|116,39|1
100,79|101,79|1
83,58|83,59|1
83,103|82,103|1
67,80|67,81|1
19,105|19,104|1
79,91|79,92|1
23,135|22,135|1
40,7|41,7|1
1,19|2,19|1
136,47|135,47|1
139,96|139,95|1
139,96|139,97|1
49,35|49,34|1
106,25|105,25|1
49,35|49,36|1
110,125|109,125|1
101,80|101,79|1
83,31|82,31|1
125,99|124,99|1
101,80|101,81|1
122,45|121,45|1
127,65|127,64|1
39,65|38,65|1
33,116|33,115|1
13,65|12,65|1
33,116|33,117|1
17,61|18,61|1
37,47|36,47|1
59,85|59,84|1
59,85|59,86|1
22,87|21,87|1
33,30|33,29|1
67,80|67,79|1
55,113|56,113|1
24,17|23,17|1
117,139|117,138|1
16,101|15,101|1
107,18|107,17|1
107,18|107,19|1
43,55|42,55|1
26,133|25,133|1
59,85|60,85|1
109,55|110,55|1
30,5|31,5|1
68,93|69,93|1
33,134|33,133|1
33,30|33,31|1
33,134|33,135|1
7,33|6,33|1
65,93|65,94|1
74,99|73,99|1
62,93|61,93|1
113,20|113,19|1
69,121|70,121|1
81,113|80,113|1
25,112|25,111|1
113,20|113,21|1
25,112|25,113|1
111,52|111,51|1
111,52|111,53|1
25,1|25,2|1
77,23|76,23|1
131,95|132,95|1
9,21|8,21|1
75,123|75,122|1
75,123|75,124|1
102,59|103,59|1
109,133|109,134|1
109,91|110,91|1
21,53|21,54|1
50,25|51,25|1
39,124|39,123|1
103,58|103,57|1
98,3|99,3|1
79,91|80,91|1
63,23|63,24|1
39,124|39,125|1
103,58|103,59|1
67,93|67,94|1
31,12|31,11|1
31,12|31,13|1
103,29|102,29|1
107,13|106,13|1
127,74|127,73|1
15,104|15,103|1
126,87|125,87|1
46,69|47,69|1
127,74|127,75|1
15,104|15,105|1
109,91|109,92|1
59,117|59,118|1
79,103|78,103|1
54,95|55,95|1
123,21|124,21|1
9,55|9,56|1
55,131|55,130|1
129,45|129,44|1
30,39|29,39|1
57,15|57,14|1
104,113|103,113|1
33,75|34,75|1
83,61|84,61|1
103,31|102,31|1
133,34|133,33|1
133,34|133,35|1
57,127|57,128|1
47,92|47,93|1
12,127|13,127|1
66,127|65,127|1
115,67|115,66|1
121,135|120,135|1
117,7|118,7|1
79,68|79,67|1
42,107|41,107|1
79,68|79,69|1
41,73|40,73|1
75,132|75,131|1
75,132|75,133|1
65,7|66,7|1
47,92|47,91|1
31,111|31,110|1
103,113|104,113|1
127,135|126,135|1
137,5|137,6|1
31,51|31,52|1
4,83|5,83|1
45,123|45,122|1
128,33|127,33|1
45,123|45,124|1
41,99|42,99|1
11,83|10,83|1
137,87|136,87|1
